"","hh_id","f2","fuel_roster_name","f3","f3_oth","f_4","f_4oth","f_5","f_6","f_7","f_8","f_9","f_10","f_4_text","f_11","f_12","f_13_1","f_13oth","f_14__1","f_14__2","f_14__3","f_14__4","f_14__5","f_14__6","f_14__7","f_14__8","f_14__111","cs_aggr_tier","elc_aggr_tier","locality"
"4633",3008528921703,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0","Tier 1",1
"4634",3008528921703,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0","Tier 1",1
"4635",3008528921703,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0","Tier 1",1
"4636",3008528922002,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4637",3008528922002,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4638",3008528922002,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4639",3008528922002,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4640",3008528922002,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4641",3008528922201,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4642",3008528922201,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4643",3008528922201,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4644",3008528922201,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4645",3008528922201,"Other, specify","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 0",1
"4646",3008528922401,"Candle","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 3",1
"4647",3008528922401,"Open wick lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 3",1
"4648",3008528922401,"Hurricane lamp with glass cover","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 3",1
"4649",3008528922401,"Pressurized mantle lamp","","No","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1","Tier 3",1
