"","hh_id","d1","d_start","d2","index_random","random_number","random_percentage_price","d_amount","d_3","d_3b","d_3b_oth","d_4","d_4b","d_4b_oth","d_5","d_5b","d_5b_oth","d_6","d_6b","d_6b_oth","d_7","d_8","d_8oth","d_9","d_10","elc_aggr_tier","locality"
"2641",10043501342903,"No","2017-12-01T09:32:22-05:00",1,1,0.29,2900,2900,"No","Monthly fee is too expensive","","No","Monthly fee is too expensive","","No","Monthly fee is too expensive","","Yes",NA,"",NA,NA,"",1500,400,"Tier 0",0
"2642",10043501343601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2643",10043501343802,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2644",10043501343803,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2645",10043501344201,"No","2017-12-01T06:52:26-05:00",2,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",0
"2646",10043501344802,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2647",10043501345002,"No","2017-12-01T05:39:27-05:00",1,1,0.29,2900,2900,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",0
"2648",10043501345401,"No","2017-12-01T06:55:55-05:00",2,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,200,"Tier 0",0
"2649",10043501345602,"No","2017-12-01T05:57:11-05:00",1,3,0.57,5699,5699,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,200,"Tier 0",0
"2650",10043501346701,"No","2017-12-01T08:02:49-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,150,"Tier 0",0
"2651",10043508020601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2652",10043508020701,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2653",10043508021101,"No","2017-12-02T04:32:01-05:00",1,0,0.14,1400,1400,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",0
"2654",10043508021301,"No","2017-12-02T06:15:02-05:00",2,1,0.29,2900,2900,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",0
