"","hh_id","g2","g3","g_4","g_5","g_6","g_7","g_8","g_9","interview__key","cs_aggr_tier","elc_aggr_tier","locality"
"11818",10023506300702,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11819",10023506300702," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11820",10023506300702,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11821",10023506301201,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11822",10023506301201,"Flashlights","Yes",3,300,12,10,"Regular source of lighting",3,"65-24-73-81","Tier 1","Tier 0",0
"11823",10023506301201,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11824",10023506301201," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11825",10023506301201,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11826",10023506301501,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11827",10023506301501,"Flashlights","Yes",2,150,12,12,"Regular source of lighting",3,"50-90-06-19","Tier 1","Tier 0",0
"11828",10023506301501,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11829",10023506301501," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11830",10023506301501,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11831",10023506301601,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11832",10023506301601,"Flashlights","Yes",2,250,12,2,"Back-up source of lighting",8,"46-92-75-07","Tier 1","Tier 3",0
"11833",10023506301601,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11834",10023506301601," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11835",10023506301601,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11836",10023506302702,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11837",10023506302702,"Flashlights","Yes",2,150,12,5,"Regular source of lighting",16,"08-52-25-73","Tier 1","Tier 0",0
"11838",10023506302702,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11839",10023506302702," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11840",10023506302702,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11841",10023506305001,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11842",10023506305001,"Flashlights","Yes",7,250,12,5,"Back-up source of lighting",20,"69-56-98-92","Tier 1","Tier 2",0
"11843",10023506305001,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11844",10023506305001," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11845",10023506305001,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11846",10023506305401,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11847",10023506305401,"Flashlights","Yes",1,500,12,2,"Back-up source of lighting",4,"56-68-57-19","Tier 1","Tier 2",0
"11848",10023506305401,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11849",10023506305401," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11850",10023506305401,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 2",0
"11851",10023506305602,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11852",10023506305602,"Flashlights","Yes",2,250,12,7,"Regular source of lighting",7,"39-39-20-17","Tier 1","Tier 0",0
"11853",10023506305602,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11854",10023506305602," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11855",10023506305602,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11856",10023506305701,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11857",10023506305701,"Flashlights","Yes",2,7,12,8,"Regular source of lighting",8,"04-83-22-38","Tier 1","Tier 0",0
"11858",10023506305701,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11859",10023506305701," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11860",10023506305701,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11861",10023506306401,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 5","Tier 3",0
"11862",10023506306401,"Flashlights","Yes",4,400,12,5,"Back-up source of lighting",3,"34-62-20-06","Tier 5","Tier 3",0
"11863",10023506306401,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 5","Tier 3",0
"11864",10023506306401," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 5","Tier 3",0
"11865",10023506306401,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 5","Tier 3",0
"11866",10028507381001,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11867",10028507381001,"Flashlights","Yes",1,300,12,1,"Back-up source of lighting",8,"01-53-18-99","Tier 1","Tier 0",0
"11868",10028507381001,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11869",10028507381001," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11870",10028507381001,"Other, specify","Yes",2,150,12,12,"Regular source of lighting",24,"01-53-18-99","Tier 1","Tier 0",0
"11871",10028507381601,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11872",10028507381601,"Flashlights","Yes",3,183,12,1,"Back-up source of lighting",5,"48-78-97-42","Tier 1","Tier 0",0
"11873",10028507381601,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11874",10028507381601," Radio","Yes",1,0,12,3,"No light available",2,"48-78-97-42","Tier 1","Tier 0",0
"11875",10028507381601,"Other, specify","Yes",2,70,12,11,"Regular source of lighting",8,"48-78-97-42","Tier 1","Tier 0",0
"11876",10028507381602,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11877",10028507381602,"Flashlights","Yes",3,250,12,10,"Regular source of lighting",22,"46-84-44-34","Tier 1","Tier 0",0
"11878",10028507381602,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11879",10028507381602," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11880",10028507381602,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11881",10028507381701,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11882",10028507381701,"Flashlights","Yes",1,300,12,1,"Back-up source of lighting",2,"68-32-26-94","Tier 1","Tier 0",0
"11883",10028507381701,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11884",10028507381701," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11885",10028507381701,"Other, specify","Yes",2,100,12,10,"Regular source of lighting",20,"68-32-26-94","Tier 1","Tier 0",0
"11886",10028507381801,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11887",10028507381801,"Flashlights","Yes",5,150,12,12,"Regular source of lighting",15,"93-18-67-19","Tier 1","Tier 0",0
"11888",10028507381801,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11889",10028507381801," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11890",10028507381801,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
