"","hh_id","solar_id","c143","c144","c145","c146","c147","c148","c149","c150","c151","c153","c154","c155","c156","c157","c156a","c158","c158a","c159","c160","c161","c162","c163","c164","c165","c166","elc_aggr_tier","locality","c137","c138","c139","sum_solar","c169a","c170a","c171a","c169b","c170b","c171b","c172","c174","c176","c177","c178","c179","c_179oth","c180","c181","c182","c182_oth","c183","percent_lantern","percent_lighting","percent_home"
"16",3027514644001,1,"Nokia","No","No","Solar Lighting product",5,888,"Don't Know",888,"Yes",5,"Head","Bought, fully paid",NA,6000,NA,NA,NA,NA,NA,NA,NA,"No","No",24,"No problems","Tier 3",0,0,1,0,1,NA,NA,NA,12,4,12,"No","No","Very satisfied",2012,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",3,0,100,0
"17",10011514804701,1,"Mono LD2420C","No","No","Solar Home system",2,888,"Don't Know",888,"Yes",1,"Head","Bought, fully paid",NA,1e+05,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2,"No problems","Tier 2",1,0,0,1,1,NA,NA,NA,2,1,1,"No","Yes","Very satisfied",2017,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",2,0,0,100
"18",10012510700101,1,"don't know","No","No","Solar Home system",10,888,"50cm x 100cm",300,"Yes",3,"Head","Bought, fully paid",NA,150000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",24,"No problems","Tier 3",1,0,0,1,1,NA,NA,NA,24,4,15,"No","No","Very satisfied",2014,"Yes",NA,"","Use about the same solar lighting","Refrigerator","Solar Home System","",3,0,0,100
"19",10013500991102,1,"Sunking","No","No","Solar Lantern",NA,888,"Don't Know",888,"No",1,"Father/Mother","Bought, fully paid",NA,2000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3,"No problems","Tier 3",1,1,0,0,1,2,1,2,7,2,5,"No","No","Somewhat satisfied",2016,"No","Dry-cell (non-rechargeable) battery/ Torch/Flashlight","","Use more solar lighting","No change","National Grid Connection","",5,100,0,0
"20",10013516800901,1,"don't know","No","No","Solar Home system",3,888,"40cm x 40cm",888,"No",2,"Head","Bought, fully paid",NA,90000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",10,"No problems","Tier 2",1,0,0,1,1,NA,NA,NA,10,4,10,"No","Yes","Somewhat satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","No change","National Grid Connection","",2,0,0,100
"21",10013516802201,1,"dont know","No","No","Solar Home system",5,888,"50cm x 100cm",888,"No",2,"Head","Bought, fully paid",NA,120000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",4,"Duration of service too short","Tier 2",1,0,0,1,1,NA,NA,NA,4,4,4,"No","No","Neutral",2015,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",7,0,0,100
"22",10014516940303,1,"YJ-1902","No","No","Solar Lantern",NA,888,"20cm x20cm or smaller",888,"No",1,"Wife/Spouse","Bought, fully paid",NA,400,NA,NA,NA,NA,NA,NA,NA,"No","Yes",1,"Breaks too often","Tier 0",1,1,0,0,1,NA,NA,NA,3,3,1,"No","Yes","Somewhat satisfied",2017,"No","Electric generator","","Use about the same solar lighting","No change","Electric generator","",8,100,0,0
"23",10015507540501,1,"lentor","No","No","Solar Lantern",NA,888,"20cm x20cm or smaller",888,"No",1,"Head","Bought, fully paid",NA,1000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",5,"Breaks too often","Tier 2",1,1,0,0,1,NA,NA,NA,5,4,5,"No","Yes","Somewhat satisfied",2017,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","No change","Solar Lantern","",2,100,0,0
"24",10015508141401,1,"LG","No","No","Solar Lantern",NA,888,"20cm x20cm or smaller",888,"No",4,"Head","Bought, fully paid",NA,85000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",5,"No problems","Tier 3",1,1,1,2,4,NA,NA,NA,8,4,8,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","Solar Lantern","",3,25,25,50
"25",10015508141401,2,"LG","No","No","Solar Lantern",NA,888,"40cm x 40cm",888,"No",3,"Wife/Spouse","Bought, fully paid",NA,78000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",8,"No problems","Tier 3",1,1,1,2,4,NA,NA,NA,8,4,8,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","Solar Lantern","",3,25,25,50
"26",10015508141401,3,"DSTV","No","No","Solar Lantern",NA,888,"Don't Know",888,"No",2,"Head","Bought, fully paid",NA,15000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",8,"No problems","Tier 3",1,1,1,2,4,NA,NA,NA,8,4,8,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","Solar Lantern","",3,25,25,50
